owner,period,metric_type,value,unit,objective
alan.xie3,2025 年 7 月,试驾量,12,组,"### 新人入职加加电⛽️ 尽快熟悉各流程，除本品外 同组讨论 学习竞品
周均邀约12+周均试驾12+ 月锁单2+
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426710822914, Owner: star.xu (open_id: ou_8e475314f3cca1e78928b14426de1f1..."
alan.xie3,2025 年 7 月,锁单量,2,台,"### 新人入职加加电⛽️ 尽快熟悉各流程，除本品外 同组讨论 学习竞品
周均邀约12+周均试驾12+ 月锁单2+
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426710822914, Owner: star.xu (open_id: ou_8e475314f3cca1e78928b14426de1f1..."
allen.liang2,2025 年 7 月,交付量,1,台,"### 完成月度车辆销售交付≥1，总利润贡献3000
- **Progress:** 0%
- **Score:** 0

---"
b.sc,2025 年 7 月,交付量,1,台,"### （多卖车多赚钱）完成月度车辆销售交付≥1辆（挑战目标2辆）总利润贡献≥0.7万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. （多建联多建信）放学新增建联≥200次
总建联人数≥150人 并持续建信
    - Progress: 0%
    - Score: 0
2. （能力成长）：持续学习，提升建联建信，卖车及服务相..."
b.sc,2025 年 7 月,新增建联量,200,人,"### （多卖车多赚钱）完成月度车辆销售交付≥1辆（挑战目标2辆）总利润贡献≥0.7万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. （多建联多建信）放学新增建联≥200次
总建联人数≥150人 并持续建信
    - Progress: 0%
    - Score: 0
2. （能力成长）：持续学习，提升建联建信，卖车及服务相..."
b.sc,2025 年 7 月,新增建联量,200,人,"### （多卖车多赚钱）完成月度车辆销售交付≥1辆（挑战目标2辆）总利润贡献≥0.7万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. （多建联多建信）放学新增建联≥200次
总建联人数≥150人 并持续建信
    - Progress: 0%
    - Score: 0
2. （能力成长）：持续学习，提升建联建信，卖车及服务相..."
bin.zhu2,2025 年 7 月,交付量,16,台,"### 完成锁单目30台，交付16
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 1、L90锁单目标1台
    - Progress: 0%
    - Score: 0

---"
bin.zhu2,2025 年 7 月,新增建联量,7,人,"### 1、建联量200
2、试驾目标45
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 1、每天建联7个，先从周边朋友、前同事种草。帮忙扩大宣传。
    - Progress: 0%
    - Score: 0
2. 1、门店获客10
2、线上获客10
3、线下获客150
4、直播获客20
7、SSP10
    - Prog..."
bin.zhu2,2025 年 7 月,新增建联量,7,人,"### 1、建联量200
2、试驾目标45
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 1、每天建联7个，先从周边朋友、前同事种草。帮忙扩大宣传。
    - Progress: 0%
    - Score: 0
2. 1、门店获客10
2、线上获客10
3、线下获客150
4、直播获客20
7、SSP10
    - Prog..."
bin.zhu2,2025 年 7 月,试驾量,45,组,"### 1、建联量200
2、试驾目标45
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 1、每天建联7个，先从周边朋友、前同事种草。帮忙扩大宣传。
    - Progress: 0%
    - Score: 0
2. 1、门店获客10
2、线上获客10
3、线下获客150
4、直播获客20
7、SSP10
    - Prog..."
bin.zhu2,2025 年 7 月,试驾量,5,组,"### 1、建联量200
2、试驾目标45
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 1、每天建联7个，先从周边朋友、前同事种草。帮忙扩大宣传。
    - Progress: 0%
    - Score: 0
2. 1、门店获客10
2、线上获客10
3、线下获客150
4、直播获客20
7、SSP10
    - Prog..."
bin.zhu2,2025 年 7 月,试驾量,30,组,"### 1、建联量200
2、试驾目标45
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 1、每天建联7个，先从周边朋友、前同事种草。帮忙扩大宣传。
    - Progress: 0%
    - Score: 0
2. 1、门店获客10
2、线上获客10
3、线下获客150
4、直播获客20
7、SSP10
    - Prog..."
bin.zhu2,2025 年 7 月,试驾量,45,组,"### 1、建联量200
2、试驾目标45
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 1、每天建联7个，先从周边朋友、前同事种草。帮忙扩大宣传。
    - Progress: 0%
    - Score: 0
2. 1、门店获客10
2、线上获客10
3、线下获客150
4、直播获客20
7、SSP10
    - Prog..."
botao.kan,2025 年 7 月,交付量,1,台,"### (多卖车多赚钱):完成月度车辆销售交付≥1辆(挑战目示3辆),总利润贡献≥1万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 完成试驾≥30个。月度新增机会>10个合计个人机会池≥7个,机会到试驾的转化率≥10%。
    - Progress: 0%
    - Score: 0
2. 月度锁单目标≥1辆,试驾到锁单的转..."
botao.kan,2025 年 7 月,新增建联量,60,人,"### (多建联多建信):当月新增建联≥60人,总建联人数≥67人,并持续建信。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>60人(其中主动建联≥40人,门店路演建联>20人。
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信70%覆盖,所有建联用户月均建信次数≥3次
 ..."
botao.kan,2025 年 7 月,新增建联量,60,人,"### (多建联多建信):当月新增建联≥60人,总建联人数≥67人,并持续建信。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>60人(其中主动建联≥40人,门店路演建联>20人。
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信70%覆盖,所有建联用户月均建信次数≥3次
 ..."
botao.kan,2025 年 7 月,新增建联量,60,人,"### (多建联多建信):当月新增建联≥60人,总建联人数≥67人,并持续建信。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>60人(其中主动建联≥40人,门店路演建联>20人。
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信70%覆盖,所有建联用户月均建信次数≥3次
 ..."
botao.kan,2025 年 7 月,新增建联量,60,人,"### (多建联多建信):当月新增建联≥60人,总建联人数≥67人,并持续建信。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>60人(其中主动建联≥40人,门店路演建联>20人。
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信70%覆盖,所有建联用户月均建信次数≥3次
 ..."
