owner,period,new_connections,test_drives,orders,deliveries
alan.xie3,2025 年 7 月,0.0,12.0,2.0,0.0
allen.liang2,2025 年 7 月,0.0,0.0,0.0,1.0
b.sc,2025 年 7 月,400.0,0.0,0.0,1.0
bin.zhu2,2025 年 7 月,14.0,125.0,0.0,16.0
botao.kan,2025 年 7 月,300.0,30.0,0.0,1.0
can.li6,2025 年 7 月,0.0,0.0,0.0,6.0
carry.wang,2025 年 7 月,578.0,0.0,2.0,0.0
cc.l,2025 年 7 月,1248.0,6.0,0.0,2.0
cheng.liu7,2025 年 7 月,900.0,0.0,2.0,4.0
cheng.peng4,2025 年 7 月,0.0,0.0,0.0,6.0
christopher.tu,2025 年 7 月,0.0,0.0,9.0,0.0
cindy.song,2025 年 7 月,298.0,55.0,0.0,1.0
daisy.ban,2025 年 7 月,10.0,0.0,0.0,0.0
dan.liu4,2025 年 7 月,400.0,30.0,0.0,1.0
david.sun1,2025 年 7 月,272.0,7.0,0.0,0.0
dejing.ma,2025 年 7 月,0.0,0.0,0.0,6.0
dongliang.zhang,2025 年 7 月,0.0,0.0,0.0,4.0
dongyu.zhou,2025 年 7 月,192.0,0.0,0.0,0.0
emily.dong,2025 年 7 月,515.0,0.0,8.0,6.0
ethan.zhuo,2025 年 7 月,1083.0,0.0,22.0,48.0
evan.liu4,2025 年 7 月,0.0,0.0,0.0,4.0
fangying.liao,2025 年 7 月,388.0,40.0,0.0,1.0
fangyuan.li2,2025 年 7 月,0.0,4.0,10.0,9.0
fangzheng.luo,2025 年 7 月,260.0,0.0,0.0,0.0
gaojun.zhao,2025 年 7 月,300.0,80.0,3.0,3.0
gin.xu,2025 年 7 月,560.0,100.0,0.0,0.0
hangzhou.liang,2025 年 7 月,260.0,0.0,2.0,6.0
hao.zhou10,2025 年 7 月,10.0,0.0,0.0,0.0
haoxiang.fang,2025 年 7 月,0.0,40.0,0.0,0.0
hong.zhang19,2025 年 7 月,222.0,3.0,0.0,0.0
ivan.chen,2025 年 7 月,75.0,0.0,0.0,0.0
jack.gao2,2025 年 7 月,0.0,0.0,6.0,0.0
jenny.cui1,2025 年 7 月,0.0,4.0,0.0,0.0
jerry.lu2,2025 年 7 月,0.0,62.0,0.0,24.0
jia.li12,2025 年 7 月,388.0,40.0,0.0,1.0
jia.liu14,2025 年 7 月,80.0,70.0,0.0,0.0
jiajun.wang6,2025 年 7 月,248.0,0.0,0.0,0.0
jiajun.zheng2,2025 年 7 月,0.0,0.0,0.0,4.0
jiale.gao,2025 年 7 月,400.0,0.0,0.0,1.0
jian.li27,2025 年 7 月,0.0,0.0,3.0,0.0
jianan.wu,2025 年 7 月,0.0,1.0,0.0,0.0
jianrui.deng2,2025 年 7 月,3.0,0.0,0.0,0.0
jiashuo.zhang,2025 年 7 月,28.0,10.0,0.0,2.0
jiawen.li8,2025 年 7 月,0.0,0.0,0.0,77.0
jiawen.wu2,2025 年 7 月,580.0,0.0,12.0,3.0
jimmy.ye,2025 年 7 月,240.0,3.0,0.0,3.0
jing.yang15,2025 年 7 月,388.0,40.0,0.0,4.0
joey.zhang4,2025 年 7 月,0.0,2.0,0.0,0.0
juncheng.wang2,2025 年 7 月,388.0,40.0,0.0,4.0
junwei.lin,2025 年 7 月,164.0,76.0,1.0,3.0
kai.wei2,2025 年 7 月,0.0,0.0,3.0,2.0
kaixiong.wang,2025 年 7 月,0.0,0.0,9.0,2.0
kennys.shen,2025 年 7 月,550.0,0.0,0.0,0.0
kevin.xu13,2025 年 7 月,0.0,0.0,0.0,6.0
kim.chen2,2025 年 7 月,0.0,0.0,4.0,0.0
kitty.yu,2025 年 7 月,140.0,0.0,0.0,0.0
kk.zhou2,2025 年 7 月,40.0,0.0,0.0,0.0
klein.lin2,2025 年 7 月,170.0,108.0,2.0,0.0
landon.zhu,2025 年 7 月,60.0,10.0,6.0,0.0
lealon.peng2,2025 年 7 月,804.0,0.0,0.0,1.0
leo.li55,2025 年 7 月,4.0,3.0,0.0,1.0
leo.liu33,2025 年 7 月,388.0,40.0,0.0,4.0
leo.lou,2025 年 7 月,1000.0,60.0,0.0,2.0
liangmeng.xu,2025 年 7 月,0.0,0.0,2.0,1.0
linguang.wu,2025 年 7 月,100.0,15.0,0.0,0.0
linkk.wang,2025 年 7 月,14.0,0.0,0.0,0.0
lipeng.wang2,2025 年 7 月,8.0,0.0,4.0,4.0
liyuan.bao,2025 年 7 月,550.0,0.0,0.0,0.0
meijun.jiang,2025 年 7 月,200.0,0.0,10.0,4.0
mengyu.li3,2025 年 7 月,0.0,0.0,0.0,8.0
mi.li2,2025 年 7 月,0.0,0.0,0.0,2.0
michael.wu5,2025 年 7 月,270.0,40.0,0.0,3.0
micheal.chen,2025 年 7 月,182.0,0.0,0.0,0.0
minghan.liu2,2025 年 7 月,0.0,6.0,0.0,0.0
mingjun.yan,2025 年 7 月,40.0,10.0,0.0,0.0
mingxi.fan,2025 年 7 月,0.0,0.0,0.0,0.0
nancy.xia,2025 年 7 月,215.0,42.0,4.0,2.0
ning.guo3,2025 年 7 月,208.0,0.0,0.0,0.0
nini.chai,2025 年 7 月,0.0,20.0,0.0,0.0
pandapia.li,2025 年 7 月,1248.0,6.0,0.0,2.0
peng.dai3,2025 年 7 月,1083.0,0.0,22.0,48.0
qiao.wang5,2025 年 7 月,0.0,60.0,0.0,0.0
qingyang.yi,2025 年 7 月,0.0,0.0,0.0,4.0
qingyun.luo,2025 年 7 月,0.0,20.0,0.0,10.0
raine.wang,2025 年 7 月,8.0,0.0,0.0,0.0
sanjiu.liu,2025 年 7 月,50.0,40.0,0.0,0.0
shaobao.wang,2025 年 7 月,0.0,60.0,0.0,0.0
shengbo.chen,2025 年 7 月,150.0,60.0,0.0,0.0
shicheng.hua,2025 年 7 月,0.0,0.0,9.0,0.0
shuai.li12,2025 年 7 月,400.0,80.0,0.0,5.0
shuhang.liu2,2025 年 7 月,200.0,0.0,0.0,0.0
shuo.qiu,2025 年 7 月,295.0,50.0,0.0,1.0
techang.hu,2025 年 7 月,200.0,0.0,0.0,0.0
tian.gu,2025 年 7 月,75.0,0.0,0.0,0.0
tianxiang.xia2,2025 年 7 月,0.0,5.0,0.0,0.0
weiming.zhou2,2025 年 7 月,0.0,0.0,2.0,0.0
wenbo.zhang7,2025 年 7 月,400.0,0.0,0.0,1.0
