owner,metric_type,total_value,metric_count,unit
alan.xie3,试驾量,12.0,1,组
alan.xie3,锁单量,2.0,1,台
allen.liang2,交付量,1.0,1,台
b.sc,交付量,1.0,1,台
b.sc,新增建联量,400.0,2,人
bin.zhu2,交付量,16.0,1,台
bin.zhu2,新增建联量,14.0,2,人
bin.zhu2,试驾量,125.0,4,组
botao.kan,交付量,1.0,1,台
botao.kan,新增建联量,300.0,6,人
botao.kan,试驾量,30.0,1,组
can.li6,交付量,6.0,4,台
carry.wang,新增建联量,578.0,4,人
carry.wang,锁单量,2.0,2,台
cc.l,交付量,2.0,2,台
cc.l,新增建联量,1248.0,8,人
cc.l,试驾量,6.0,2,组
cheng.liu7,交付量,4.0,2,台
cheng.liu7,新增建联量,900.0,8,人
cheng.liu7,锁单量,2.0,1,台
cheng.peng4,交付量,6.0,2,台
christopher.tu,锁单量,9.0,3,台
cindy.song,交付量,1.0,1,台
cindy.song,新增建联量,298.0,8,人
cindy.song,试驾量,55.0,1,组
daisy.ban,新增建联量,10.0,2,人
dan.liu4,交付量,1.0,1,台
dan.liu4,新增建联量,400.0,6,人
dan.liu4,试驾量,30.0,1,组
david.sun1,新增建联量,272.0,7,人
david.sun1,试驾量,7.0,2,组
dejing.ma,交付量,6.0,2,台
dongliang.zhang,交付量,4.0,2,台
dongyu.zhou,新增建联量,192.0,1,人
emily.dong,交付量,6.0,6,台
emily.dong,新增建联量,515.0,5,人
emily.dong,锁单量,8.0,3,台
ethan.zhuo,交付量,48.0,6,台
ethan.zhuo,新增建联量,1083.0,5,人
ethan.zhuo,锁单量,22.0,3,台
evan.liu4,交付量,4.0,2,台
fangying.liao,交付量,1.0,1,台
fangying.liao,新增建联量,388.0,4,人
fangying.liao,试驾量,40.0,1,组
fangyuan.li2,交付量,9.0,3,台
fangyuan.li2,试驾量,4.0,2,组
fangyuan.li2,锁单量,10.0,2,台
fangzheng.luo,新增建联量,260.0,10,人
gaojun.zhao,交付量,3.0,3,台
gaojun.zhao,新增建联量,300.0,2,人
gaojun.zhao,试驾量,80.0,2,组
gaojun.zhao,锁单量,3.0,3,台
