owner,total_metrics,metric_count,metric_types
yanan.tao,3540.0,8,2
zhen.yao2,1290.0,8,2
pandapia.li,1256.0,12,3
wenjun.luo,1256.0,12,3
cc.l,1256.0,12,3
yunbilige.wu,1238.0,6,1
ethan.zhuo,1153.0,14,3
peng.dai3,1153.0,14,3
xumin.han,1087.0,20,4
leo.lou,1062.0,8,3
cheng.liu7,906.0,11,3
xushen.huang,906.0,11,3
yanxin.li2,826.0,10,3
zian.xie,807.0,8,3
lealon.peng2,805.0,6,2
gin.xu,660.0,6,2
yutong.guo,644.0,10,2
zilong.peng,613.0,3,2
jiawen.wu2,595.0,8,3
zhengyuan.rui,584.0,6,3
carry.wang,580.0,6,2
zhenxu.yao,561.0,3,2
yu.xue,554.0,10,3
kennys.shen,550.0,10,1
liyuan.bao,550.0,10,1
emily.dong,529.0,14,3
yeqi.ma2,496.0,8,2
wenwen.wu,485.0,6,3
shuai.li12,485.0,6,3
leo.liu33,432.0,7,3
juncheng.wang2,432.0,7,3
jing.yang15,432.0,7,3
dan.liu4,431.0,8,3
fangying.liao,429.0,6,3
yaoguo.chen,429.0,6,3
jia.li12,429.0,6,3
zhilin.jiao,416.0,4,1
wenbo.zhang7,401.0,5,2
jiale.gao,401.0,5,2
b.sc,401.0,3,2
gaojun.zhao,386.0,10,4
cindy.song,354.0,10,3
shuo.qiu,346.0,11,3
botao.kan,331.0,8,3
michael.wu5,313.0,8,3
ziqi.zhang5,302.0,3,2
yilin.chen5,292.0,8,3
klein.lin2,280.0,6,3
david.sun1,279.0,9,2
wujun.ren,277.0,7,4
hangzhou.liang,268.0,9,3
nancy.xia,263.0,7,4
fangzheng.luo,260.0,10,1
ziwei.liu7,252.0,3,2
jiajun.wang6,248.0,7,1
jimmy.ye,246.0,8,3
junwei.lin,244.0,9,4
xiaojie.xiong,240.0,4,2
hong.zhang19,225.0,5,2
meijun.jiang,214.0,16,3
shengbo.chen,210.0,2,2
ning.guo3,208.0,1,1
yi.tian,206.0,4,2
zhangyuan.yang,200.0,1,1
shuhang.liu2,200.0,1,1
techang.hu,200.0,1,1
dongyu.zhou,192.0,1,1
xu.han9,192.0,14,4
micheal.chen,182.0,5,1
bin.zhu2,155.0,7,3
jia.liu14,150.0,5,2
william.tao,144.0,11,3
kitty.yu,140.0,4,1
zhiming.lu,140.0,4,2
zhuqiang.chen,139.0,9,3
yi.guo5,132.0,8,2
xucan.ye,123.0,6,3
will.xiao,120.0,2,1
linguang.wu,115.0,3,2
zhigang.sun,103.0,7,3
sanjiu.liu,90.0,3,2
jerry.lu2,86.0,3,2
zhenhua.fu,82.0,6,2
xiping.ceng,80.0,3,1
jiawen.li8,77.0,3,1
landon.zhu,76.0,8,3
ivan.chen,75.0,1,1
tian.gu,75.0,3,1
wenyu.zhang4,69.0,8,2
wenya.yang,64.0,4,2
qiao.wang5,60.0,1,1
shaobao.wang,60.0,1,1
zhaohui.tan,60.0,1,1
xiaoyi.weng2,56.0,4,2
mingjun.yan,50.0,2,2
xinhan.zhang2,47.0,5,3
kk.zhou2,40.0,1,1
jiashuo.zhang,40.0,5,3
haoxiang.fang,40.0,2,1
qingyun.luo,30.0,8,2
xin.peng3,26.0,1,1
xiang.zhou7,24.0,2,1
fangyuan.li2,23.0,7,3
xianmin.lan,22.0,4,2
yushi.yang2,20.0,4,1
nini.chai,20.0,2,1
xiaolong.yang8,17.0,8,2
lipeng.wang2,16.0,7,3
alan.xie3,14.0,2,2
linkk.wang,14.0,4,1
kaixiong.wang,11.0,8,2
daisy.ban,10.0,2,1
hao.zhou10,10.0,1,1
yan.luo4,10.0,2,1
christopher.tu,9.0,3,1
shicheng.hua,9.0,3,1
leo.li55,8.0,3,3
mengyu.li3,8.0,2,1
raine.wang,8.0,1,1
zhenfeng.chen,8.0,1,1
jack.gao2,6.0,6,1
minghan.liu2,6.0,2,1
kevin.xu13,6.0,2,1
cheng.peng4,6.0,2,1
dejing.ma,6.0,2,1
can.li6,6.0,4,1
xin.li43,5.0,3,1
tianxiang.xia2,5.0,1,1
kai.wei2,5.0,2,2
qingyang.yi,4.0,4,1
dongliang.zhang,4.0,2,1
yuchen.zeng,4.0,2,1
evan.liu4,4.0,2,1
kim.chen2,4.0,2,1
jiajun.zheng2,4.0,2,1
jenny.cui1,4.0,2,1
jianrui.deng2,3.0,1,1
liangmeng.xu,3.0,2,2
jian.li27,3.0,1,1
weiming.zhou2,2.0,2,1
yuanzhuang.qiu,2.0,2,1
mi.li2,2.0,2,1
joey.zhang4,2.0,1,1
allen.liang2,1.0,1,1
jianan.wu,1.0,1,1
mingxi.fan,0.0,1,1
