owner,period,value,unit,objective
jiawen.li8,2025 年 7 月,33,台,"### 多卖车多赚钱：月度车辆销售交付≥33台挑战目标42台。上月双门店交付22台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653197932019740, Owner: zhilin.gao (open_id: ou_5d6dd2083e9ce51487a48ca0820e7378)
    - 目标: ..."
jerry.lu2,2025 年 7 月,24,台,"### （多卖车多赚钱）：月度交付≥24，单车费效
≤2.5万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 战队伙伴每人每天精准得体试驾2+，试驾后统一模板跟进，人均月度试驾≥60个，人均线索新增大于等于130个，L-TD转化率≥30%
    - Progress: 0%
    - Score: 0
2. 大配置车型销售占比..."
jiawen.li8,2025 年 7 月,22,台,"### 多卖车多赚钱：月度车辆销售交付≥33台挑战目标42台。上月双门店交付22台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653197932019740, Owner: zhilin.gao (open_id: ou_5d6dd2083e9ce51487a48ca0820e7378)
    - 目标: ..."
jiawen.li8,2025 年 7 月,22,台,"### 多卖车多赚钱：月度车辆销售交付≥33台挑战目标42台。上月双门店交付22台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653197932019740, Owner: zhilin.gao (open_id: ou_5d6dd2083e9ce51487a48ca0820e7378)
    - 目标: ..."
bin.zhu2,2025 年 7 月,16,台,"### 完成锁单目30台，交付16
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 1、L90锁单目标1台
    - Progress: 0%
    - Score: 0

---"
peng.dai3,2025 年 7 月,10,台,"### (多卖车多赚钱):月度车辆销售交付>10辆(上月交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为40+次,机会到试驾的转化率≥20%(上月为15.9%)
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单目标>10辆,L60锁..."
peng.dai3,2025 年 7 月,10,台,"### (多卖车多赚钱):月度车辆销售交付>10辆(上月交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为40+次,机会到试驾的转化率≥20%(上月为15.9%)
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单目标>10辆,L60锁..."
ethan.zhuo,2025 年 7 月,10,台,"### V2
(多卖车多赚钱):月度车辆销售交付>10辆(上月
交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为 40+次,机会到试驾的转化率≥20%(上月为 15.9%) Peng
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单..."
ethan.zhuo,2025 年 7 月,10,台,"### V2
(多卖车多赚钱):月度车辆销售交付>10辆(上月
交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为 40+次,机会到试驾的转化率≥20%(上月为 15.9%) Peng
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单..."
peng.dai3,2025 年 7 月,7,台,"### (多卖车多赚钱):月度车辆销售交付>10辆(上月交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为40+次,机会到试驾的转化率≥20%(上月为15.9%)
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单目标>10辆,L60锁..."
