owner,period,value,unit,objective
yanan.tao,2025 年 7 月,700,人,"### 多建联多建信:
当月新增建联≥700人,总建联人数≥800
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>700人(其中主动建联≥550人,门店路演建联≥50人,主动外拓异业合作等建联>100人)
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信100%覆盖,所有建联..."
yanan.tao,2025 年 7 月,700,人,"### 多建联多建信:
当月新增建联≥700人,总建联人数≥800
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>700人(其中主动建联≥550人,门店路演建联≥50人,主动外拓异业合作等建联>100人)
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信100%覆盖,所有建联..."
yanan.tao,2025 年 7 月,700,人,"### 多建联多建信:
当月新增建联≥700人,总建联人数≥800
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>700人(其中主动建联≥550人,门店路演建联≥50人,主动外拓异业合作等建联>100人)
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信100%覆盖,所有建联..."
yanan.tao,2025 年 7 月,700,人,"### 多建联多建信:
当月新增建联≥700人,总建联人数≥800
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>700人(其中主动建联≥550人,门店路演建联≥50人,主动外拓异业合作等建联>100人)
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信100%覆盖,所有建联..."
yanan.tao,2025 年 7 月,550,人,"### 多建联多建信:
当月新增建联≥700人,总建联人数≥800
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联>700人(其中主动建联≥550人,门店路演建联≥50人,主动外拓异业合作等建联>100人)
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信100%覆盖,所有建联..."
zhenxu.yao,2025 年 7 月,330,人,"### V2:完成7月新增建联建信目标，建联≥330，建信≥1000；
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. A1：建联≥230（主动建联占比25%，战败打捞20%，门店20%，线上20%，其他渠道15%）；
    - Progress: 0%
    - Score: 0
2. 筛选SSP合适人选和持续新增新老用户涟漪进..."
yunbilige.wu,2025 年 7 月,302,人,"### 个人目标
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653404203352066, Owner: yuezhong.zheng (open_id: ou_98eeb63a9c6b5eff2010500f23b9bf2b)
    - 目标: 7516653404203352066, Owner: y..."
yunbilige.wu,2025 年 7 月,302,人,"### 个人目标
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653404203352066, Owner: yuezhong.zheng (open_id: ou_98eeb63a9c6b5eff2010500f23b9bf2b)
    - 目标: 7516653404203352066, Owner: y..."
yunbilige.wu,2025 年 7 月,302,人,"### 个人目标
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653404203352066, Owner: yuezhong.zheng (open_id: ou_98eeb63a9c6b5eff2010500f23b9bf2b)
    - 目标: 7516653404203352066, Owner: y..."
yunbilige.wu,2025 年 7 月,302,人,"### 个人目标
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653404203352066, Owner: yuezhong.zheng (open_id: ou_98eeb63a9c6b5eff2010500f23b9bf2b)
    - 目标: 7516653404203352066, Owner: y..."
zilong.peng,2025 年 7 月,302,人,"### 个人目标
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653404203352066, Owner: yuezhong.zheng (open_id: ou_98eeb63a9c6b5eff2010500f23b9bf2b)
    - 目标: 7516653404203352066, Owner: y..."
zilong.peng,2025 年 7 月,302,人,"### 个人目标
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653404203352066, Owner: yuezhong.zheng (open_id: ou_98eeb63a9c6b5eff2010500f23b9bf2b)
    - 目标: 7516653404203352066, Owner: y..."
peng.dai3,2025 年 7 月,270,人,"### (多建联多建信):人均建联>3人/天
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429094023170, Owner: ocean.yu (open_id: ou_d089a2848b8371d8810e9131896d740d)
    - 目标: 7516653429094023170, ..."
peng.dai3,2025 年 7 月,270,人,"### (多建联多建信):人均建联>3人/天
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429094023170, Owner: ocean.yu (open_id: ou_d089a2848b8371d8810e9131896d740d)
    - 目标: 7516653429094023170, ..."
peng.dai3,2025 年 7 月,270,人,"### (多建联多建信):人均建联>3人/天
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429094023170, Owner: ocean.yu (open_id: ou_d089a2848b8371d8810e9131896d740d)
    - 目标: 7516653429094023170, ..."
peng.dai3,2025 年 7 月,270,人,"### (多建联多建信):人均建联>3人/天
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429094023170, Owner: ocean.yu (open_id: ou_d089a2848b8371d8810e9131896d740d)
    - 目标: 7516653429094023170, ..."
ethan.zhuo,2025 年 7 月,270,人,"### 卓超5863
13:12
52
VAU
Ocean Y...
ONVO Central Stor... Ethan
V1
(多建联多建信):人均建联>3人/
than ZHUO 卓超 5863
暂无
0.0
0倍
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. A1
A1月度总新增建联270组
建信池用户60%触达,触达次数>..."
ethan.zhuo,2025 年 7 月,270,人,"### 卓超5863
13:12
52
VAU
Ocean Y...
ONVO Central Stor... Ethan
V1
(多建联多建信):人均建联>3人/
than ZHUO 卓超 5863
暂无
0.0
0倍
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. A1
A1月度总新增建联270组
建信池用户60%触达,触达次数>..."
ethan.zhuo,2025 年 7 月,270,人,"### 卓超5863
13:12
52
VAU
Ocean Y...
ONVO Central Stor... Ethan
V1
(多建联多建信):人均建联>3人/
than ZHUO 卓超 5863
暂无
0.0
0倍
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. A1
A1月度总新增建联270组
建信池用户60%触达,触达次数>..."
ethan.zhuo,2025 年 7 月,270,人,"### 卓超5863
13:12
52
VAU
Ocean Y...
ONVO Central Stor... Ethan
V1
(多建联多建信):人均建联>3人/
than ZHUO 卓超 5863
暂无
0.0
0倍
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. A1
A1月度总新增建联270组
建信池用户60%触达,触达次数>..."
carry.wang,2025 年 7 月,262,人,"### 人均建联≥2组，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)

#### Key Results:
1. 每日闭环企业微信朋友..."
carry.wang,2025 年 7 月,262,人,"### 人均建联≥2组，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)

#### Key Results:
1. 每日闭环企业微信朋友..."
zhen.yao2,2025 年 7 月,250,人,"### 多建联多建信:
当月新增建联≥250人,总建联人数≥300人,并持续建信。
A1:月度新增建联>250人(其中主动建联≥150人,门店路演建联≥50人,主动外拓异业合作等建联>50人) A2:建联用户的月度建信100%覆盖,所有建联用户月
ang C
均建信次数>3次
A3:主动面对面拜访10个已建联无明确购车需求用户(包括合作伙伴、颜蔚来或乐道的老用户,等),新增 5-10个蔚来老用户的..."
zhen.yao2,2025 年 7 月,250,人,"### 多建联多建信:
当月新增建联≥250人,总建联人数≥300人,并持续建信。
A1:月度新增建联>250人(其中主动建联≥150人,门店路演建联≥50人,主动外拓异业合作等建联>50人) A2:建联用户的月度建信100%覆盖,所有建联用户月
ang C
均建信次数>3次
A3:主动面对面拜访10个已建联无明确购车需求用户(包括合作伙伴、颜蔚来或乐道的老用户,等),新增 5-10个蔚来老用户的..."
zhen.yao2,2025 年 7 月,250,人,"### 多建联多建信:
当月新增建联≥250人,总建联人数≥300人,并持续建信。
A1:月度新增建联>250人(其中主动建联≥150人,门店路演建联≥50人,主动外拓异业合作等建联>50人) A2:建联用户的月度建信100%覆盖,所有建联用户月
ang C
均建信次数>3次
A3:主动面对面拜访10个已建联无明确购车需求用户(包括合作伙伴、颜蔚来或乐道的老用户,等),新增 5-10个蔚来老用户的..."
zhen.yao2,2025 年 7 月,250,人,"### 多建联多建信:
当月新增建联≥250人,总建联人数≥300人,并持续建信。
A1:月度新增建联>250人(其中主动建联≥150人,门店路演建联≥50人,主动外拓异业合作等建联>50人) A2:建联用户的月度建信100%覆盖,所有建联用户月
ang C
均建信次数>3次
A3:主动面对面拜访10个已建联无明确购车需求用户(包括合作伙伴、颜蔚来或乐道的老用户,等),新增 5-10个蔚来老用户的..."
zhenxu.yao,2025 年 7 月,230,人,"### V2:完成7月新增建联建信目标，建联≥330，建信≥1000；
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. A1：建联≥230（主动建联占比25%，战败打捞20%，门店20%，线上20%，其他渠道15%）；
    - Progress: 0%
    - Score: 0
2. 筛选SSP合适人选和持续新增新老用户涟漪进..."
cheng.liu7,2025 年 7 月,220,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
cheng.liu7,2025 年 7 月,220,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
xushen.huang,2025 年 7 月,220,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
xushen.huang,2025 年 7 月,220,人,"### V1：门店交付2台达成盈亏平衡
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653427935543324, Owner: mingjun.zhong2 (open_id: ou_3f0897e30e09d4b7162d65b4277c44fc)

#### Key Results:
1. A1：建联2..."
ning.guo3,2025 年 7 月,208,人,"### 基础工作目标
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 电话月度目标1300
    - Progress: 0%
    - Score: 0
2. 试驾月度目标60
    - Progress: 0%
    - Score: 0
3. 主动建联208
    - Progress: 0%
    - Score:..."
xumin.han,2025 年 7 月,200,人,"### 7月新增建联200人，持续建信
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)

#### Key Results:
1. 主动建联50人，门店路演..."
xumin.han,2025 年 7 月,200,人,"### 7月新增建联200人，持续建信
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)

#### Key Results:
1. 主动建联50人，门店路演..."
xumin.han,2025 年 7 月,200,人,"### 7月新增建联200人，持续建信
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)

#### Key Results:
1. 主动建联50人，门店路演..."
