owner,period,value,unit,objective
gin.xu,2025 年 7 月,100,组,"### 3. Fellow 个人VAU
V1(多卖车多赚钱):完成月度车辆销售交付≥X辆(挑战目标Y辆)总利润贡献≥4万元(或者:总亏损<1万元)。
A1:完成试驾>100个(上月为0%)。月度新增机会>80个(上月为20%),合计个人机会池≥150个(上月为 20%),机会到试驾的转化率≥80%(上月为0%)。
A2:月度锁单目标>2辆(上月为0%),试驾到锁单的转化率≥20%(」上月为0%)。..."
xumin.han,2025 年 7 月,80,组,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
xumin.han,2025 年 7 月,80,组,"### L60交付2台，L90锁单2台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516570272550060035, Owner: leo.li35 (open_id: ou_a5d80436d8a253e8e0140c46758dedb7)
    - 目标: 7516570272550060035, Own..."
wenwen.wu,2025 年 7 月,80,组,"### V1(多卖车多赚钱):完成月度车辆销售交付≥5辆(挑战目标6辆),总利润贡献≥3万元
A1:完成试驾≥80个，月度新增机会>80个，合计个人机会池≥150个

A2:月度锁单目标≥5辆，落实试驾质量，app下载80%，选配70%，车机A级占比90%，录音合格率90%

A3:高配车型销售占比50%，官方汽车金融占比>60%，官方二手车占比>40%


V2(多建联多建信):当月新增建联≥1..."
shuai.li12,2025 年 7 月,80,组,"### 完成月度车辆销售交付≥5辆(挑战目标6辆),总利润贡献≥3万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 完成试驾≥80个，月度新增机会>80个，合计个人机会池≥150个
    - Progress: 0%
    - Score: 0
2. 月度锁单目标≥5辆，落实试驾质量，app下载80%，选配70%，车机A级占比..."
yu.xue,2025 年 7 月,60,组,"### 完成月度车辆交付2台，挑战3台。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 完成试驾60个，月度增加机会140。
    - Progress: 0%
    - Score: 0
2. 月度锁单目标2台，挑战目标3台。
    - Progress: 0%
    - Score: 0
3. 高配车型销售50%，官方金..."
yu.xue,2025 年 7 月,60,组,"### 完成月度车辆交付2台，挑战3台。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 完成试驾60个，月度增加机会140。
    - Progress: 0%
    - Score: 0
2. 月度锁单目标2台，挑战目标3台。
    - Progress: 0%
    - Score: 0
3. 高配车型销售50%，官方金..."
jerry.lu2,2025 年 7 月,60,组,"### （多卖车多赚钱）：月度交付≥24，单车费效
≤2.5万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 战队伙伴每人每天精准得体试驾2+，试驾后统一模板跟进，人均月度试驾≥60个，人均线索新增大于等于130个，L-TD转化率≥30%
    - Progress: 0%
    - Score: 0
2. 大配置车型销售占比..."
qiao.wang5,2025 年 7 月,60,组,"### 本月完成锁单目标1
冲刺目标2
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 本月留资目标80
    - Progress: 0%
    - Score: 0
2. 本月试驾60
    - Progress: 0%
    - Score: 0
3. 本月抓紧时间学习 提升工作能力
    - Progress: 0%..."
shaobao.wang,2025 年 7 月,60,组,"### 本月锁单目标+1
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 本月留资80
本月试驾60
本月抓紧时间学习，提升自己能力
    - Progress: 0%
    - Score: 0

---"
yeqi.ma2,2025 年 7 月,60,组,"### 试驾60组
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 每天试驾2组
    - Progress: 0%
    - Score: 0
2. 可以组织试驾会 老车主涟漪
    - Progress: 0%
    - Score: 0

---"
yeqi.ma2,2025 年 7 月,60,组,"### 试驾60组
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 每天试驾2组
    - Progress: 0%
    - Score: 0
2. 可以组织试驾会 老车主涟漪
    - Progress: 0%
    - Score: 0

---"
zhengyuan.rui,2025 年 7 月,60,组,"### V1(多卖车多赚钱):完成月度车辆销售交付≥4辆(挑战目标Y辆)总利润贡献≥2万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 完成试驾>60个(上月为18个)。机会到试驾的转化率>25%(上月为14%)。
    - Progress: 0%
    - Score: 0
2. 月度锁单目标>4辆(上月为3辆),试驾到锁..."
yi.guo5,2025 年 7 月,60,组,"### 完成月度交付目标3台；月度冲刺目标4台，实现Q3设定7月份EBIT目标。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)
    - 目标: ..."
yi.guo5,2025 年 7 月,60,组,"### 完成月度交付目标3台；月度冲刺目标4台，实现Q3设定7月份EBIT目标。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651640880955393, Owner: philip.zhou (open_id: ou_3515987a7f8d563072188fcec18d2249)
    - 目标: ..."
zhaohui.tan,2025 年 7 月,60,组,"### 7月锁单目标3 交付目标 3@Yuanhe FAN 范原赫
- **Progress:** 0%
- **Score:** 0
- **Mentioned:** yuanhe.fan (open_id: ou_d0d2ee3d35fd0c713de5ad215d2d1f4e)

#### Key Results:
1. 新增线索100 试驾60 （walk in 30 外拓15 老车主推荐..."
shengbo.chen,2025 年 7 月,60,组,"### 试驾60
每天完成2个试驾
- **Progress:** 0%
- **Score:** 0

---"
leo.lou,2025 年 7 月,60,组,"### (多卖车多赚钱):完成月度车辆销售交付≥2辆(挑战目标3辆),总利润贡献≥0万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 完成试驾≥60个。月度新增购车需求≥10个
个人合计购车需求池≥10个,机会到试驾的转化率≥40%。
    - Progress: 0%
    - Score: 0
2. 月度锁单目标≥3辆
试..."
cindy.song,2025 年 7 月,55,组,"### 完成车辆交付≥1，总亏损≤1.4万
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度试驾≥55个，周中2个，周末3个
    - Progress: 0%
    - Score: 0
2. 锁单交付目标1台
    - Progress: 0%
    - Score: 0

---"
