owner,period,value,unit,objective
peng.dai3,2025 年 7 月,10,台,"### (多卖车多赚钱):月度车辆销售交付>10辆(上月交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为40+次,机会到试驾的转化率≥20%(上月为15.9%)
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单目标>10辆,L60锁..."
ethan.zhuo,2025 年 7 月,10,台,"### V2
(多卖车多赚钱):月度车辆销售交付>10辆(上月
交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为 40+次,机会到试驾的转化率≥20%(上月为 15.9%) Peng
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单..."
zhenfeng.chen,2025 年 7 月,8,台,"### V3、L90上市首月，人均锁单8组
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. A1.L90产品知识100%通关➕竞品对标强化
    - Progress: 0%
    - Score: 0
2. A2.个人社媒平台持续预热，朋友圈刷屏不低于5条（L90至少3条）
A3.L90意向用户动态盘点
    - Progre..."
jiawen.wu2,2025 年 7 月,6,台,"### 多卖车多赚钱
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426836832258, Owner: mengting.xie (open_id: ou_39090c7e5748582791cd6095f6ce6baa)

#### Key Results:
1. 7月L60车型交付≥3台
    ..."
jiawen.wu2,2025 年 7 月,6,台,"### 多卖车多赚钱
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426836832258, Owner: mengting.xie (open_id: ou_39090c7e5748582791cd6095f6ce6baa)

#### Key Results:
1. 7月L60车型交付≥3台
    ..."
peng.dai3,2025 年 7 月,6,台,"### (多卖车多赚钱):月度车辆销售交付>10辆(上月交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为40+次,机会到试驾的转化率≥20%(上月为15.9%)
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单目标>10辆,L60锁..."
peng.dai3,2025 年 7 月,6,台,"### (多卖车多赚钱):月度车辆销售交付>10辆(上月交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为40+次,机会到试驾的转化率≥20%(上月为15.9%)
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单目标>10辆,L60锁..."
ethan.zhuo,2025 年 7 月,6,台,"### V2
(多卖车多赚钱):月度车辆销售交付>10辆(上月
交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为 40+次,机会到试驾的转化率≥20%(上月为 15.9%) Peng
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单..."
ethan.zhuo,2025 年 7 月,6,台,"### V2
(多卖车多赚钱):月度车辆销售交付>10辆(上月
交付7辆),财务上达成Q3利润目标,确保增量投入的使用效率
月度试驾总量>160人次,人均月试驾目标为 40+次,机会到试驾的转化率≥20%(上月为 15.9%) Peng
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度车辆销售交付>10辆(上月交付7辆);月度锁单..."
fangyuan.li2,2025 年 7 月,5,台,"### 7月L60交付3台，L90意向金15台，锁单5台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516652006007717916, Owner: yayun.wang (open_id: ou_240214865c91b69f245f50ae36fdb654)

#### Key Results:
1. 每..."
fangyuan.li2,2025 年 7 月,5,台,"### 7月L60交付3台，L90意向金15台，锁单5台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516652006007717916, Owner: yayun.wang (open_id: ou_240214865c91b69f245f50ae36fdb654)

#### Key Results:
1. 每..."
